2024-12-06 13:10:50,672 INFO    MainThread:21064 [wandb_setup.py:_flush():68] Current SDK version is 0.19.0
2024-12-06 13:10:50,673 INFO    MainThread:21064 [wandb_setup.py:_flush():68] Configure stats pid to 21064
2024-12-06 13:10:50,673 INFO    MainThread:21064 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aman3\.config\wandb\settings
2024-12-06 13:10:50,673 INFO    MainThread:21064 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\settings
2024-12-06 13:10:50,673 INFO    MainThread:21064 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-06 13:10:50,673 INFO    MainThread:21064 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\run-20241206_131050-yb01l0ck\logs\debug.log
2024-12-06 13:10:50,675 INFO    MainThread:21064 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\run-20241206_131050-yb01l0ck\logs\debug-internal.log
2024-12-06 13:10:50,675 INFO    MainThread:21064 [wandb_init.py:init():639] calling init triggers
2024-12-06 13:10:50,675 INFO    MainThread:21064 [wandb_init.py:init():645] wandb.init called with sweep_config: {}
config: {}
2024-12-06 13:10:50,675 INFO    MainThread:21064 [wandb_init.py:init():688] starting backend
2024-12-06 13:10:50,675 INFO    MainThread:21064 [wandb_init.py:init():692] sending inform_init request
2024-12-06 13:10:50,676 INFO    MainThread:21064 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-06 13:10:50,677 INFO    MainThread:21064 [wandb_init.py:init():705] backend started and connected
2024-12-06 13:10:50,678 INFO    MainThread:21064 [wandb_init.py:init():798] updated telemetry
2024-12-06 13:10:50,727 INFO    MainThread:21064 [wandb_init.py:init():830] communicating run to backend with 90.0 second timeout
2024-12-06 13:10:51,358 INFO    MainThread:21064 [wandb_init.py:init():882] starting run threads in backend
2024-12-06 13:10:51,423 INFO    MainThread:21064 [wandb_run.py:_console_start():2443] atexit reg
2024-12-06 13:10:51,423 INFO    MainThread:21064 [wandb_run.py:_redirect():2293] redirect: wrap_raw
2024-12-06 13:10:51,423 INFO    MainThread:21064 [wandb_run.py:_redirect():2358] Wrapping output streams.
2024-12-06 13:10:51,423 INFO    MainThread:21064 [wandb_run.py:_redirect():2383] Redirects installed.
2024-12-06 13:10:51,424 INFO    MainThread:21064 [wandb_init.py:init():925] run started, returning control to user process
2024-12-06 13:10:51,425 INFO    MainThread:21064 [wandb_run.py:_finish():2169] finishing run abdulrahman-cubicle-space/hrms-analytics/yb01l0ck
2024-12-06 13:10:51,425 INFO    MainThread:21064 [wandb_run.py:_atexit_cleanup():2408] got exitcode: 1
2024-12-06 13:10:51,425 INFO    MainThread:21064 [wandb_run.py:_restore():2390] restore
2024-12-06 13:10:51,425 INFO    MainThread:21064 [wandb_run.py:_restore():2396] restore done
2024-12-06 13:10:54,703 INFO    MainThread:21064 [wandb_run.py:_footer_history_summary_info():3951] rendering history
2024-12-06 13:10:54,703 INFO    MainThread:21064 [wandb_run.py:_footer_history_summary_info():3983] rendering summary
2024-12-06 13:10:54,703 INFO    MainThread:21064 [wandb_run.py:_footer_sync_info():3912] logging synced files
