timestamp,document_type,pages,color
2024-10-16 17:24:44.028605,Invoice,6,True
2024-10-16 19:24:44.028605,Invoice,14,True
2024-10-16 21:24:44.028605,Letter,8,True
2024-10-16 23:24:44.028605,Letter,16,False
2024-10-17 01:24:44.028605,Invoice,12,False
2024-10-17 03:24:44.028605,Invoice,18,False
2024-10-17 05:24:44.028605,Letter,16,False
2024-10-17 07:24:44.028605,Article,15,False
2024-10-17 09:24:44.028605,Letter,10,False
2024-10-17 11:24:44.028605,Invoice,18,True
2024-10-17 13:24:44.028605,Letter,11,False
2024-10-17 15:24:44.028605,Article,12,False
2024-10-17 17:24:44.028605,Report,8,True
2024-10-17 19:24:44.028605,Report,17,False
2024-10-17 21:24:44.028605,Report,11,True
2024-10-17 23:24:44.028605,Resume,20,True
2024-10-18 01:24:44.028605,Report,20,False
2024-10-18 03:24:44.028605,Letter,4,True
2024-10-18 05:24:44.028605,Report,9,False
2024-10-18 07:24:44.028605,Invoice,20,True
