2024-12-06 14:51:31,227 INFO    MainThread:17732 [wandb_setup.py:_flush():68] Current SDK version is 0.19.0
2024-12-06 14:51:31,228 INFO    MainThread:17732 [wandb_setup.py:_flush():68] Configure stats pid to 17732
2024-12-06 14:51:31,228 INFO    MainThread:17732 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aman3\.config\wandb\settings
2024-12-06 14:51:31,228 INFO    MainThread:17732 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\settings
2024-12-06 14:51:31,228 INFO    MainThread:17732 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-06 14:51:31,228 INFO    MainThread:17732 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\run-20241206_145131-nuxk5zw1\logs\debug.log
2024-12-06 14:51:31,229 INFO    MainThread:17732 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\run-20241206_145131-nuxk5zw1\logs\debug-internal.log
2024-12-06 14:51:31,229 INFO    MainThread:17732 [wandb_init.py:init():639] calling init triggers
2024-12-06 14:51:31,229 INFO    MainThread:17732 [wandb_init.py:init():645] wandb.init called with sweep_config: {}
config: {}
2024-12-06 14:51:31,229 INFO    MainThread:17732 [wandb_init.py:init():688] starting backend
2024-12-06 14:51:31,229 INFO    MainThread:17732 [wandb_init.py:init():692] sending inform_init request
2024-12-06 14:51:31,231 INFO    MainThread:17732 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-06 14:51:31,232 INFO    MainThread:17732 [wandb_init.py:init():705] backend started and connected
2024-12-06 14:51:31,233 INFO    MainThread:17732 [wandb_init.py:init():798] updated telemetry
2024-12-06 14:51:31,282 INFO    MainThread:17732 [wandb_init.py:init():830] communicating run to backend with 90.0 second timeout
2024-12-06 14:51:31,900 INFO    MainThread:17732 [wandb_init.py:init():882] starting run threads in backend
2024-12-06 14:51:31,968 INFO    MainThread:17732 [wandb_run.py:_console_start():2443] atexit reg
2024-12-06 14:51:31,968 INFO    MainThread:17732 [wandb_run.py:_redirect():2293] redirect: wrap_raw
2024-12-06 14:51:31,968 INFO    MainThread:17732 [wandb_run.py:_redirect():2358] Wrapping output streams.
2024-12-06 14:51:31,968 INFO    MainThread:17732 [wandb_run.py:_redirect():2383] Redirects installed.
2024-12-06 14:51:31,969 INFO    MainThread:17732 [wandb_init.py:init():925] run started, returning control to user process
2024-12-06 14:51:31,970 INFO    MainThread:17732 [wandb_run.py:_finish():2169] finishing run abdulrahman-cubicle-space/hrms-analytics/nuxk5zw1
2024-12-06 14:51:31,970 INFO    MainThread:17732 [wandb_run.py:_atexit_cleanup():2408] got exitcode: 1
2024-12-06 14:51:31,970 INFO    MainThread:17732 [wandb_run.py:_restore():2390] restore
2024-12-06 14:51:31,970 INFO    MainThread:17732 [wandb_run.py:_restore():2396] restore done
2024-12-06 14:51:35,405 INFO    MainThread:17732 [wandb_run.py:_footer_history_summary_info():3951] rendering history
2024-12-06 14:51:35,405 INFO    MainThread:17732 [wandb_run.py:_footer_history_summary_info():3983] rendering summary
2024-12-06 14:51:35,411 INFO    MainThread:17732 [wandb_run.py:_footer_sync_info():3912] logging synced files
